#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
62,Moldova,"37,740",+532,"1,024",+16,"26,189",+317,"10,527",575,"9,359",254,"207,925","51,565","4,032,320",Europe,107,"3,938",19
63,Azerbaijan,"36,732",+154,538,+2,"34,116",+139,"2,078",,"3,617",53,"935,396","92,114","10,154,729",Asia,276,"18,875",11
64,Kenya,"34,493",+178,581,+4,"20,211",,"13,701",44,639,11,"456,088","8,451","53,965,495",Africa,"1,565","92,884",118
65,Serbia,"31,581",+99,716,+1,"30,188",+135,677,39,"3,617",82,"947,298","108,496","8,731,176",Europe,276,"12,194",9
66,Ireland,"29,025",,"1,777",,"23,364",,"3,884",6,"5,867",359,"852,007","172,223","4,947,117",Europe,170,"2,784",6
67,Austria,"27,969",+327,734,,"23,820",+255,"3,415",30,"3,102",81,"1,210,568","134,280","9,015,221",Europe,322,"12,282",7
68,Australia,"25,923",+104,663,+6,"21,690",+187,"3,570",23,"1,015",26,"6,319,795","247,351","25,549,875",Australia/Oceania,986,"38,537",4
69,ElSalvador,"25,904",+84,731,+7,"14,879",+309,"10,294",261,"3,990",113,"320,267","49,334","6,491,834",NorthAmerica,251,"8,881",20
70,Czechia,"25,117",,425,,"18,116",,"6,576",34,"2,345",40,"910,872","85,029","10,712,426",Europe,427,"25,206",12
71,Palestine,"23,875",+594,162,+3,"15,483",+145,"8,230",,"4,662",32,"263,288","51,416","5,120,787",Asia,214,"31,610",19
72,BosniaandHerzegovina,"20,517",+283,627,+7,"13,626",+191,"6,264",,"6,261",191,"190,771","58,211","3,277,208",Europe,160,"5,227",17
73,S.Korea,"20,449",+267,326,+2,"15,356",+158,"4,767",124,399,6,"1,980,295","38,620","51,276,856",Asia,"2,508","157,291",26
