#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
199,Timor-Leste,27,,,,25,,2,,20,,"5,146","3,891","1,322,599",Asia,"48,985",,257
200,SaintLucia,26,,,,25,,1,,141,,"5,651","30,750","183,772",NorthAmerica,"7,068",,33
201,Grenada,24,,,,24,,0,,213,,"6,252","55,518","112,613",NorthAmerica,"4,692",,18
202,NewCaledonia,23,,,,23,,0,,80,,"12,618","44,124","285,964",Australia/Oceania,"12,433",,23
203,Laos,22,,,,21,,1,,3,,"39,460","5,410","7,293,253",Asia,"331,512",,185
204,Dominica,20,,,,18,,2,,278,,"2,077","28,840","72,017",NorthAmerica,"3,601",,35
205,St.Barth,18,,,,13,,5,,"1,821",,"2,075","209,978","9,882",NorthAmerica,549,,5
206,SaintKittsandNevis,17,,,,17,,0,,319,,"1,564","29,364","53,263",NorthAmerica,"3,133",,34
207,CaribbeanNetherlands,16,+1,,,7,,9,,609,,900,"34,267","26,264",NorthAmerica,"1,642",,29
208,Greenland,14,,,,14,,0,,247,,"6,727","118,460","56,787",NorthAmerica,"4,056",,8
209,Montserrat,13,,1,,12,,0,,"2,604",200,328,"65,692","4,993",NorthAmerica,384,"4,993",15
210,FalklandIslands,13,,,,13,,0,,"3,719",,"2,256","645,309","3,496",SouthAmerica,269,,2
211,VaticanCity,12,,,,12,,0,,"14,981",,,,801,Europe,67,,
212,WesternSahara,10,,1,,8,,1,,17,2,,,"599,728",Africa,"59,973","599,728",
213,MSZaandam,9,,2,,,,7,,,,,,,,,,
214,SaintPierreMiquelon,5,,,,4,,1,,864,,"1,051","181,551","5,789",NorthAmerica,"1,158",,6
215,Anguilla,3,,,,3,,0,,200,,808,"53,773","15,026",NorthAmerica,"5,009",,19
,Total:,"7,188,489","+102,350","144,087","+1,605","5,768,110","+83,687","1,276,292","18,795",,,,,,Asia,,,
,Total:,"7,409,840","+50,360","272,663","+1,532","4,285,469","+48,336","2,851,708","19,195",,,,,,NorthAmerica,,,
,Total:,"6,388,613","+70,858","204,595","+2,077","5,019,349","+93,104","1,164,669","15,238",,,,,,SouthAmerica,,,
,Total:,"3,611,315","+29,321","208,174",+432,"2,086,758","+13,386","1,316,383","5,816",,,,,,Europe,,,
,Total:,"1,264,417","+7,101","30,104",+242,"1,002,554","+15,156","231,759","1,262",,,,,,Africa,,,
,Total:,"28,656",+89,686,+5,"23,584",+166,"4,386",41,,,,,,Australia/Oceania,,,
,Total:,721,,15,,651,,55,4,,,,,,,,,
,Total:,"25,892,051","+260,079","860,324","+5,893","18,186,475","+253,835","6,845,252","60,351","3,321.7",110.4,,,,All,,,
